rq,treatment,control,scope,level,n,mean,ci_low,ci_high,p_value,win_rate,n_seeds,seed_std,seeds_favouring
RQ1,Regime-Aware PPO,TWAP,TURBULENT,seed,5,-0.004696070827141896,,,,0.4,5.0,1.0110328810443443,2.0
RQ1,Regime-Aware PPO,VWAP,ALL,window,900,-0.5924051892431513,-1.3597656203344302,0.22804436439753023,0.000145879482330551,0.5655555555555556,,,
RQ1,Regime-Aware PPO,VWAP,ALL,seed,5,-0.5924051892431513,,,,0.8,5.0,1.0124081627020414,4.0
RQ1,Regime-Aware PPO,VWAP,high_volatility,window,150,-1.246797376719241,-3.711288828257279,1.0577876049316377,0.3723115346343887,0.5333333333333333,,,
RQ1,Regime-Aware PPO,VWAP,high_volatility,seed,5,-1.2467973767192408,,,,0.4,5.0,4.4713830735042635,2.0
RQ1,Regime-Aware PPO,VWAP,liquidity_shock,window,150,-1.5312000286437135,-2.9546777489662506,-0.19064854364780928,0.06023714237535537,0.5666666666666667,,,
RQ1,Regime-Aware PPO,VWAP,liquidity_shock,seed,5,-1.5312000286437133,,,,0.8,5.0,1.4095687600420408,4.0
RQ1,Regime-Aware PPO,VWAP,low_liquidity,window,150,-2.202251237574265,-3.1598648255276744,-1.2474686894049585,1.3272185521927896e-07,0.7133333333333334,,,
RQ1,Regime-Aware PPO,VWAP,low_liquidity,seed,5,-2.202251237574264,,,,1.0,5.0,1.086304443906051,5.0
RQ1,Regime-Aware PPO,VWAP,normal,window,150,-1.9535090783227202,-2.880326066636318,-1.0058858558859205,1.9812354000786066e-06,0.6866666666666666,,,
RQ1,Regime-Aware PPO,VWAP,normal,seed,5,-1.9535090783227205,,,,0.8,5.0,1.2634544085555786,4.0
RQ1,Regime-Aware PPO,VWAP,regime_transition,window,150,2.9048723430333645,0.010776471200422442,5.911037268321843,0.04379795559387058,0.38666666666666666,,,
RQ1,Regime-Aware PPO,VWAP,regime_transition,seed,5,2.9048723430333636,,,,0.4,5.0,6.576096290243094,2.0
RQ1,Regime-Aware PPO,VWAP,stress,window,150,0.47445424276766773,-1.374818972482737,2.3490238700728123,0.6859703560594836,0.5066666666666667,,,
RQ1,Regime-Aware PPO,VWAP,stress,seed,5,0.47445424276766757,,,,0.2,5.0,1.8334414700176795,1.0
RQ1,Regime-Aware PPO,VWAP,TURBULENT,window,600,0.1503322951095195,-0.96387454624413,1.3106276238644181,0.9059291357685838,0.49833333333333335,,,
RQ1,Regime-Aware PPO,VWAP,TURBULENT,seed,5,0.15033229510951934,,,,0.4,5.0,1.0787612128342063,2.0
RQ1,Regime-Aware PPO,POV,ALL,window,900,1.8211175424029624,-0.005460685305511498,3.807401935137529,0.4921713562715969,0.5355555555555556,,,
